 5345930 14 112  .6597    11884324  9  1     21       2    1432462243246312211111      1     21    13  21        52 1           1 53  3125554 3743
 5329230101 112 1.6217    21445212  6  1     12       2    4221241122124211111121      1     11    11  21        91 1           1 53  5126552 3227
 5287930 43 112  .7687    11554344  5  2     31       2    1322342132234312232211      1     22    19  11        99 1           1 32  2123341 3049
 5504730113 312  .8799    11884314  9  2     22       1    3432462243246312211111      1     22    22  11        51 1           1 53  3125554 3470
 5383230 37 212  .4521    11334243  5  2     31       2    1221231122123212232211      1     22    11 211        41 1           1 32  4123322 3045
 5553130 22 312 1.5032    11774334  1  1     31       1    1332452133245312222111      1     21    11 211        31 1           1 32  4123332 3038
 5546230 84 312  .7092    11444243  1  2     31       2    1221241122124212232211      1     22    22 211        51 1           1 32  1123332 3857
 5530530 76 312  .5662    116643 3  1        2        1     3223521322353122   11      1     2     23 211        92 1           1 21  2123111 3062
 5526830 73 312  .6012    21443243  5  2     31       2    2221241122124223332211      1     22    13 221        52 1           1 21  2123111 3063
 5514530106 312 1.4382    11334242  5  2     31       2    1221231122123212232221      1     22    13 211        92 1           1 53  5126554 3886
 5505730 47 312  .9102    1188 321  1  2     22       1    34324622432463   11122      1     12    21 212        51 1           1 43  3123553 3431
 5501030113 312  .9252    21442442  1  2     31       2    2221241122124323432221      1     22    23 222        52 1           1 53  3125554 3470
 5494830101 312 1.5532    11113221  5  2     92       2    3111111111111223311122      1     12    23 212        52 1           1 53  5126552 3227
 5476430 94 312  .8022    11664234  1  2     21       2    1322352132235212222111      1     22    12 211        51 1           1 53  3125553 3461
 5461830 36 312 1.1322    11335243  1  2     32       2    3221231122123211132211      1     22    22 221        51 1           1 53  5125552 3249
 5456430 43 312  .6062    11555244  5  2     21       3    1322342132234211132211      2     22    23 211        52 1           1 32  2123341 3049
 5454930 43 312  .6272    21885222  1  1     21       1    2432462243246211111121      1     11    13 221        52 1           1 32  2123341 3049
 5451030 39 212  .8122    21443342  1  2     11       3    2221241122124323332221      2     22    21 212        11 1           1 32  4123441 3841
 5440930 40 212  .8782    11775223  1  1     21       1    1332452133245211111111      1     21    11 211        31 1           1 32  1123241 3842
 5433430 97 212  .9352    21664313  1  2     92       2    4322352132235312211111      1     22    23 219        32 1           1 32  1123334 3867
 5433130 46 212 1.2622    11884333  1  2     21       1    1432462243246312222111      1     22    19 211        19 1           1 32  4123342 3051
 5430630107 212  .9962    21335243  1  1     31       2    2221231122123211132211      1     21    13 231        52 2           1 53  3125554 3465
 5428230101 212 1.6582    21443253  1  1     31       3    2221241122124223332211      2     21    13 211        52 1           1 53  5126552 3227
 5419530 58 212  .5662    11665234  1  2     31       1    1322352132235211122111      1     22    11 211        31 1           1 21  2122112 3104
 5418630 76 212  .5852    218852 1  1  1     32       1    44324622432462111   22      1      1    19 212        59 1           1 21  2123111 3062
 5406030 52 212  .8022    21445221  5  1     31       3    2221241122124211111122      2     11    13 221        32 1           1 32  4123342 3051
 5398430 76 212  .5592    11884353  1  2     31       1    1432462243246312232211      1     22    13 212        52 1           1 21  2123111 3062
 5395230 30 212  .7952    217752 4  1  2     31       1    23324521332452111   11      1     22    13 219        52 1           1 32  1123333 3042
 5379730 37 212 1.0392    21665242  1        21       2    2322352132235211132221      1     2     11 211        51 1           1 32  4123322 3045
 5379030 37 212  .9792    11885254  5  2     41       1    1432462243246211132211      1     22    23 212        52 1           1 32  4123322 3045
 5363730113 112  .8712    11775232  1  2     21       1    1332452133245211122121      1     22    13 212        52 1           1 53  3125554 3470
 5350830 30 112  .7592    11775232  1  2     31       1    1332452133245211122121      1     22    11 212        31 1           1 32  1123333 3042
 5349930 14 112  .7832    11665232  1  1     11       2    1322352132235211122121      1     21    12 212        51 1           1 53  3125554 3743
 5345230107 112  .9502    11665322  1  2     22       1    3322352132235311111121      1     12    29 211        59 1           1 53  3125554 3465
 5342930 97 112  .8812    11774311  1  2     91       3    1332452133245312211122      2     12    11 211        31 1           1 32  1123334 3867
 5338430 47 112  .9222    11335212  1  1     91       2    1221231122123211111121      1     11    13 212        32 1           1 43  3123553 3431
 5335230 40 112  .9212    21882244  1  1     31       2    2432462243246223432211      1     21    13 211        32 1           1 32  1123241 3842
 5334430 97 112  .9242    21884223  5  2     31       2    2432462243246212211111      1     22    23 212        52 1           1 32  1123334 3867
 5312930  8 112 2.1212    11664244  1  2     22       2    3322352132235212232211      1     22    13 221        52 1           1 32  2123421 3110
 5310630 99 112 1.1802    11885212  1  1     21       2    1432462243246211111121      1     11    11 212        51 1           1 53  5125553 3269
 5310230 99 112 1.2532    21444244  1  2     31       1    2221241122124212232211      1     22    12 212        31 1           1 53  5125553 3269
 5306830 13 112  .9212    11884232  1  2     31       1    1432462243246212222121      1     22    23 222        52 1           1 32  4125441 3036
 5306730 98 112 1.5482    11775344  5  2     21       1    1332452133245311132211      1     22    21 212        51 1           1 32  4123332 3079
 5306130 29 112  .7092    11664243  5  2     31       1    1322352132235212232211      1     22    22 211        31 1           1 32  1123331 3824
 5304630 37 112 1.0262    21885223  1  1     21       2    2432462243246211111111      1     21    13 211        92 1           1 32  4123322 3045
 5304530 37 112 1.0262    21885223  1  1     21       2    2432462243246211111111      1     21    13 211        92 1           1 32  4123322 3045
 5302430 13 112  .9322    11665231  1  1     31       1    1322352132235211122122      1     21    23 212        52 1           1 32  4125441 3036
 5299230 10 112  .8822    11335231  5  2     21       1    1221231122123211122122      1     22    23 211        92 1           1 53  3123551 3304
 5280830 76 112  .5662    11333233  1  2     31       3    1221231122123223322111      2     22    11 211        31 1           1 21  2123111 3062
 5275830 69 112  .7912    2 8843 2  1        22       3    44324622432463122   21      2           21 212        41 1           1 32  4123332 3055
 5273930 58 112  .5662    11554242  1  2     31       3    1322342132234212232221      2     22    21 211        91 1           1 21  2122112 3104
 5546430 53 312 1.3483    21663253  2  2     31       3    2322352132235223332211      2     22    12 211        31 1           1 32  4123431 3053
 5544430 53 312 1.3483    21443353  2  2     31       3    2221241122124323332211      2     22    11 221        51 1           1 32  4123431 3053
 5542830 84 312  .8533    21883323  2  2     31       3    2432462243246323311111      2     22    13 212        52 1           1 32  1123332 3857
 5533730 73 312  .7693    11334434  1  2     31       4    1221231122123312222111      3     22    13 211        32 1           1 21  2123111 3063
 5532930 73 312  .6943    1 443242  5  2     31       2    1221241122124223332221      1     22    12 221        31 1           1 21  2123111 3063
 5517730 27 312 1.0993    21664333  2  1     31       2    2322352132235312222111      1     21    11 212        11 1           1 53  3126551 3444
 5493930101 312 1.1933    11774334  2  2     31       3    1332452133245312222111      2     22    23 231        62 2           1 53  5126552 3227
