22972743*** 911 1.9132    11332341 2   2     412      45 3 12212311221233234322221     3422  22   232                           1 11  231311237218
22972843*** 911 3.5913    11114221 9   1     314      33 2 11111111111112122111229     2321  11   421                           1 21  131311137415
22972943*** 911 1.0083    217752 2 4   1     121      14 1 43324521332452111   212     1121   1   142                           1 43  331555238401
22973043*** 911  .9943    21885211 3   1     213      53 2 24324622432462111111222     3321  11   332                           1 32  131544337742
22973143*** 911  .6283    21884243 3   1     314      44 1 24324622432462122322112     3321  21   432                           1 53  331555338351
22973243*** 911  .8773    21885211 4   1     321      93 1 44324622432462111111222     9 21  11   142                           1 53  331655438549
22973343*** 911  .6991    218852 3 3   1     211      14 1 24324622432462111   112     1121  21   132                           1 32  131332137663
22973443*** 911  .3054    21884211 3   1     321      32 2 44324622432462122111222     2311  11   132                           1 32  231342237086
22973543*** 911  .8693    21884253 2   1     211      14 1 24324622432462122322111     1121  21   142                           1 32  231534237087
22973643*** 911 1.4004    11664211 2   1     314      23 1 13223521322352122111221     1121  11   432                           1 53  131555437708
22973743*** 911 1.0654    11883222 4   1     224      34 2 34324622432462233111212     2321  11   432                           1 32  431542138002
22973843*** 911  .5894    21885313 4   1     324      52 9 44324622432463111111112     3311  21   421                           1 21  131311237920
22973943*** 911  .3723    21884434 1   2     421      45 1 44324622432463122221111     3422  22   142                           1 11  431311138134
22974043*** 911 1.6424    11885343 1   2     211      14 1 14324622432463111322111     1221  22   142                           1 32  431342138017
22974143*** 911  .6662    11885211 2   1     421      25 1 34324622432462111111221     1122  11   142                           1 43  131355237814
22974243*** 911 1.8524    21444243 1   1     313      33 2 22212411221242122322111     2321  21   332                           1 32  131342137934
22974343*** 911  .5913    21883211 4   1     223      39 1 44324622432462233111222     2399  11   332                           1 53  331555338351
22974443*** 911  .8551    118852 2 3   1     319      29 1 14324622432462111   212     1199   1   932                           1 32  431344238058
22974543*** 911 1.7063    21663211 9   1     323      93 2 43223521322352233111229     9 21  11   321                           1 53  331555437083
22974643*** 911 1.2024    11884131 2   2     212      43 3 14324622432461122221221     3421  22   232                           1 32  231534337172
22974743*** 911  .5783    217752 2 3   1     411      13 1 23324521332452111   212     1121   1   142                           1 11  431311138134
22974843*** 911 1.3183    21773253 3   2     314      35 1 23324521332452233322112     2422  22   432                           1 43  131555237310
22974943*** 911 1.9314    21555212 2   1     311      33 1 23223421322342111111211     2321  11   132                           1 53  131655437841
22975043*** 911  .5894    21885312 3   1     323      33 2 44324622432463111111212     2321  11   332                           1 43  131555437766
22975143*** 911 1.6814    21555331 3   1     213      23 1 23223421322343111221222     1121  21   342                           1 53  331655437150
22975243*** 911  .4373    11884223 3   2     311      25 1 14324622432462122111112     1222  22   121                           1 11  431311138134
22975343*** 911 2.2684    21443243 2   2     311      23 2 22212411221242233322111     1221  22   132                           1 32  131342137934
22975443*** 911  .3992    21885332 3   1     311      19 1 24324622432463111221212     1199  21   142                           1 43  331555337160
22975543*** 911  .8834    11885 41 3   1     321      14 1 3432462243246 111322222     1121  21   142                           1 53  331655337183
22975643*** 911 1.0684    23883412 3   1     312      24 9 24324622432463233111212     1121  22   232                           1 43  131555437821
22975743*** 911 1.4784    11664132 2   1     313      34 1 13223521322351122221211     2321  21   342                           1 21  231311237130
22975843*** 911  .7281    118853   4   1     911      19 1 14324622432463111     2     1199   1   142                           1 21  131311237411
22975943*** 911 3.9973    13333231 3   2     321      34 1 32212311221232233221222     2421  22   132                           1 32  131342237995
22976043*** 911 1.2004    21775321 4   1     311      13 1 23324521332453111111222     1121  11   142                           1 53  331555438462
22976143*** 911  .6353    21883212 9   2     329      55 9 44324622432462233111219     3422  12   942                           1 32  131323137830
22976243*** 911  .8834    11882241 2   1     312      23 1 14324622432462234322221     1121  21   242                           1 21  331311338301
22976343*** 911  .1835    11774444 9   2     314      59 2 13324521332453122322119     3499  22   442                           1 32  231344237188
