 2023916  1 312  .4231     1 6 332   2312    3 2      31           32235311122121  12  2 1 1  1   21                            1 53  221655452172
 2022716 49 212 1.3561    1  8 2 1   19 1    9 1      14           432462111   22  99  1 2 2      11                            1 32  121332152302
 2020016 49 212 1.6141    21 8 2     12 1    3 1      93           432462111       11  9 2 1      11                            1 32  121332152302
 2019916 20 312  .4641     1 7 221   2211    3 2      11           33245211111122  11  1 1 1  1   21                            1 53  321655250072
 2017516  1 312  .4231     1 6 331   2211    2 2      11           32235311122122  11  1 1 1  1   21                            1 53  221655452172
 2015716 86 312 1.4071    11 6 221   1211    3 3      12           32235211111122  11  1 1 1  1   32                            1 21  421511251503
 2013416 83 312  .5691    1  4 213   1413    3 1      14           22124223311111  22  1 2 2      11                            1 32  321542150323
 2011316  1 312  .8831    2  6 232   2312    2 2      11           32235211122121  12  1 1 1      21                            1 53  221655452172
 2009916 20 312 1.0321    21 7 344   9323    1 3      11           33245311132211  12  1 1 1  2   31                            1 53  321655250072
 2009516112 312 1.1231    11 6 233   2322    2 3      21           32235212222111  12  1 1 1  2   31                            1 21  421311251106
 2004216 85 312 1.4931    21 8 233   2211    2 2      12           43246211122111  11  1 1 1  1   21                            1 32  321342150266
 1997916100 212 1.7731    21 8 2 1   1311    2 3      12           432462111   22  12  1 1 1  1   31                            1 53  321655350278
 1990316 38 312  .6081     1 6 233   1312    3 3      21           32235212222111  12  1 1 1  1   31                            1 53  221655452142
 1989716 46 212  .9831    11 6 322   2411    1 3      13           32235311111121  22  1 2 1  1   32                            1 53  121555252353
 1989316 38 312 1.2681    11 6 222   2321    2 2      13           32235211111121  12  1 2 1  2   22                            1 53  221655452142
 1984316 94 212  .2311     1 8 211   21 1    3 4      31           43246211111122  11  2 1 1      41                            1 21  121211252803
 1984116104 212 1.6401    11 4 343   2322    4 2      22           22124312232211  12  1 1 1  2   22                            1 21  321311250320
 1984016 20 312 1.0321    21 7 334   1322    3 4      41           33245323322111  12  3 1 1  2   41                            1 53  321655250072
 1983416 97 212  .7101     1 8 224   2321    3 4      21           43246211111111  12  1 1 1  2   41                            1 21  321311150010
 1983116  4 312  .7611     1 5 112   9411    4 2      14           32234123311121  22  1 2 2  1   22                            1 43  221355150613
 1983016 46 212  .9201    21 6 221   2411    9 9      12           32235211111122  22  1 1 1  1   92                            1 53  121555252353
 1981016113 112 5.0061    11 8 134   9211    2 9      14           43246111122111  11  1 2 2  1   99                            1 21  421311251106
 1980016 34 312  .5151    11 7 333   2921    2 3      42           33245312222111  99  3 1 1  2   32                            1 21  121311352001
 1979216 94 212  .2311     1 8 244   2221    4 1      13           43246211132211  11  1 2 1  2   11                            1 21  121211252803
 1978016  4 312 1.5861    21 7  11   2411    4 3      14           33245 23311122  22  1 2 2  1   32                            1 43  221355150613
 1974216 11 212  .6481     1 7 231   1412    3 2      13           33245212222122  22  1 2 1  1   21                            1 53  221655350604
 1970316 38 212 1.2681    11 6 222   2911    2 3      13           32235211111121  99  1 2 1  1   32                            1 53  221655452142
 1969616 38 212 1.2681    21 6 212   1311    1 2      22           32235211111121  12  1 1 1  1   22                            1 53  221655452142
 1959016 20 212  .9911    11 6 232   1211    4 2      14           32235211122121  11  1 2 2  1   22                            1 53  321655250072
 1955716 15 112 2.0721    11 6 431   2211    2 2      14           32235312222122  11  1 2 2  1   21                            1 53  321655450275
 1955116 21 212 1.5531    21 5 242   2311    3 3      22           32234211132221  12  1 1 1  1   31                            1 32  321533150003
 1954716  2 112 1.1581    1  3 332   12 1    9 2      22           22123312222121  11  1 1 1      21                            1 53  221555352345
 1954616 49 112 1.0041    23 6 2 2   1311    1 1      34           322352111   21  12  2 2 2  2   11                            1 32  121332152302
 1953716  2 112 1.1581    11 7 212   2212    3 4      11           33245211111121  11  1 1 1  1   42                            1 53  221555352345
 1953616 49 112 1.0041    23 6 233   1211    1 2      34           32235211122111  11  2 2 2  2   21                            1 32  121332152302
 1951516 97 112 1.5831    21 8 223   1421    3 1      21           43246211111111  22  1 1 1  2   11                            1 21  321311150010
 1948416 43 212  .5451     1 7 223   1311    3 2      13           33245211111111  12  1 2 1  1   21                            1 43  321555250208
 1946816106 212 1.6031    1  4 221   1211    1 2      13           22124211111122  11  1 2 1      22                            1 53  221655252201
 1946216 24 112 1.5881    21 2 233   2311    9 2      14           11112211122111  12  1 2 2  1   21                            1 32  321542150323
 1945416 94 112  .3751    21 6 234   2411    1 3      14           32235211122111  22  1 2 2  1   31                            1 21  121211252803
 1943816 94 112  .4011    11 6 233   1411    1 2      14           32235211122111  22  1 2 2  1   21                            1 21  121211252803
 1939916 11 112 1.2151    2  8 213   9421    2 2      12           43246212211111  22  1 1 1  2   21                            1 53  221655350604
 1937816106 212 1.6031    2  4 221   2311    3 2      14           22124211111122  12  1 2 2      21                            1 53  221655252201
 1935916 83 212  .6781    21 4 243   2311    2 2      14           22124211132211  12  1 2 2  1   22                            1 32  321542150323
 1930816 72 112  .2041     1 6 232   2212    1 2      14           32235211122121  11  1 2 2  1   21                            1 53  421655351632
 1930616 23 112  .3231     1 6  24   1311    1 3      94           32235 11111111  12  9 2 2  1   39                            1 32  321633150261
 1926016  1 112  .4711     1 7 233   2411    3 1      11           33245211122111  22  1 1 1  1   11                            1 53  221655452172
 1924516  1 112  .4711     1 7 232   2321    3 4      34           33245223322121  12  2 2 2  2   41                            1 53  221655452172
 1923416107 212 1.0151    21 8 233   2311    1 2      23           43246211122111  12  1 2 1  1   21                            1 43  321555350501
