11314129  7 112  .5251    11 752442   32     3 47     13           33245211132211  124 122 1 2223 4112                          1 21  341311289701
11292429  7 112  .5251    11 852442   31     3 41     14           43246211132211  121 112 2 2111 4112                          1 21  341311289701
11311629  7 112  .5251    11 752222   21     3 44     23           33245211111121  111 112 1 1111 4112                          1 21  341311289701
11247929 99 112  .5691    21 533332   22     3 14     14           32234323322111  111 122 2 2222 1112                          1 21  141511189511
11250029 99 112  .5691    21 652422   21     3 11     14           32235211132221  111 112 2 2111 1112                          1 21  141511189511
11327829 99 312  .5691    24 642342   32     1 12     31           32235212222111  122 241 1 2223 1342                          1 21  141511189511
11240329 99 112  .5691    24 642342   32     1 12     31           32235212222111  122 241 1 2223 1342                          1 21  141511189511
11324629 99 312  .5691    21 652332   32     3 21     12           32235211122111  121 121 1 2222 2112                          1 21  141511189511
11251429 99 112  .5691    21 642332   42     2 24     12           32235212222111  221 121 1 2222 2112                          1 21  141511189511
11324229 99 312  .5691    21 522422   21     3 44     22           32234223432221  111 111 1 2111 4112                          1 21  141511189511
11248529 99 112  .5691    21 652422   21     3 44     24           32235211132221  111 112 2 2111 4112                          1 21  141511189511
11265929 99 112  .5691    21 442531   12     9 42     23           22124212232211  112 122 1 2223 4332                          1 21  141511189511
11253829 99 112  .5861    21 852332   31     9 11     14           43246211122111  121 112 2 2111 1112                          1 21  141511189511
11319029 99 312  .5861    21 852422   41     2 11     23           43246211132221  221 112 1 2111 1112                          1 21  141511189511
11250829 99 112  .5861    21 832522   22     3 11     34           43246223332221  111 242 2 2222 1112                          1 21  141511189511
11325529 99 312  .5861    21 852342   42     2 21     14           43246211122111  221 122 2 2222 2112                          1 21  141511189511
11326929 99 312  .5861    26 852342   12     3 22     14           43246211122111  112 122 2 2223 2352                          1 21  141511189511
11246829 99 112  .5861    21 852132   22     3 47     24           43246211111111  114 122 2 2223 4112                          1 21  141511189511
11308029 10 212  .5901    21 132222   31     3 94     33           11111223311121  121 232 1 1111 9112                          1 43  341655389406
11235529 10 112  .5901    21 242332   32     3 11     34           11112212222111  121 242 2 2222 1112                          1 43  341655389406
11232629 10 112  .5941    1  622112   32     2 44     24           32235223411122  121 122 2  22  4  2                          1 43  341655389406
11252529 99 112  .5971    11 542332   32     3 98     34           32234212222111  125 242 2 2223 9112                          1 21  141511189511
11261129 99 112  .5971    11 343422   22     3 18     14           22123312232221  115 122 2 2223 1112                          1 21  141511189511
11326429 99 312  .5971    11 454332   42     3 24     14           22124311122111  221 122 2 2222 2112                          1 21  141511189511
11318129 99 312  .5971    11 642432   22     3 44     33           32235212232211  111 242 1 2222 4112                          1 21  141511189511
11280529 23 212  .6041    21 652442   21     3 41     14           32235211132211  111 112 2 2111 4112                          1 32  241544189052
11259829 23 212  .6041    21 423532   42     3 41     33           22124323432211  221 242 1 2222 4112                          1 32  241544189052
11331529 23 312  .6041    24 652532   32     3 41     14           32235211132211  121 122 2 2223 4342                          1 32  241544189052
11318429 99 312  .6151    11 7523 2   11     9 14     12           332452111221    111 111 1  111 1112                          1 21  141511189511
11322529 99 312  .6151    11 842342   32     2 11     33           43246212222111  121 242 1 2222 1112                          1 21  141511189511
11323129 99 312  .6151    11 852342   92     2 24     14           43246211122111  991 122 2 2222 2112                          1 21  141511189511
11232329 10 112  .6191    11 152422   21     3 14     14           11111211132221  111 112 2 2111 1112                          1 43  341655389406
11311129 10 212  .6191    11 153112   42     2 27     12           11111311111122  224 121 1 1223 2112                          1 43  341655389406
11190429 23 112  .6231    21 842442   32     2 21     22           43246212232211  121 121 1 2222 2112                          1 32  241544189052
11307429 10 212  .6301    21 642432   32     2 14     12           32235212232211  121 121 1 2222 1112                          1 43  341655389406
11232029 10 112  .6301    21 552 32   41     3 11     24           322342111   11  221 112 2  111 1112                          1 43  341655389406
11309029 10 212  .6301    21 653322   32     3 14     14           32235311122121  121 122 2 2222 1112                          1 43  341655389406
11309729 10 212  .6301    21 653322   42     2 41     14           32235311122121  221 122 2 2222 4112                          1 43  341655389406
11234329 10 112  .6301    21 652222   31     2 41     14           32235211111121  121 112 2 1111 4112                          1 43  341655389406
11233329 10 112  .6301    21 352122   12     9 44     22           22123211111121  111 121 1 1222 4112                          1 43  341655389406
11315129 10 212  .6501    21 85221    1      9 92     24           43246211111122  112 1 2 2 1 2  911                           1 43  341655389406
11314829 10 212  .6501    21 742232   31     3 11     24           33245212211111  121 112 2 2111 1112                          1 43  341655389406
11234129 10 112  .6501    21 752322   22     3 18     14           33245211122121  115 122 2 2223 1112                          1 43  341655389406
11305729 10 212  .6501    21 852432   42     3 22     14           43246211132211  222 122 2 2223 2112                          1 43  341655389406
11301729 10 212  .6501    21 842 22   22     3 42     32           432462122   21  112 241 1  223 4112                          1 43  341655389406
11231429 10 112  .6501    21 852122   32     3 4      14           43246211111121  12  122 2 12   4112                          1 43  341655389406
11304729 10 212  .6501    21 852311   41     3 41     13           43246211122122  221 112 1 2223 4332                          1 43  341655389406
11249729 23 212  .6531    11 852 4    92     2 11     23           432462111   11  991 122 1  222 111                           1 32  241544189052
11201229 23 112  .6531    11 842232   22     2 11     24           43246212211111  111 122 2 2222 1112                          1 32  241544189052
11257029 23 212  .6531    11 852 32   32     2 27     12           432462111   11  124 121 1  223 2112                          1 32  241544189052
11192329 23 112  .6531    11 852542   32     3 21     12           43246211132211  121 121 1 2222 2112                          1 32  241544189052
11186229 23 112  .6531    11 75232    32     3 24     14           33245211122121  121 122 2 2222 211                           1 32  241544189052
11262829 23 212  .6531    11 842422   12     3 42     13           43246212232221  112 122 1 2223 4112                          1 32  241544189052
11313329 10 212  .6621    11 452111   31     9 91     13           22124211111122  121 112 1 2223 9332                          1 43  341655389406
11235029 10 112  .6621    11 642322   21     2 14     12           32235212222121  111 111 1 2111 1112                          1 43  341655389406
11313929 10 212  .6621    11 552342   42     2 27     14           32234211122111  224 122 2 2223 2112                          1 43  341655389406
11315529 10 212  .6621    11 342322   12     3 21     13           22123212222121  111 122 1 2222 2112                          1 43  341655389406
11302629 10 212  .6621    11 653322   41     2 27     11           32235311122121  224 111 1 2123 2112                          1 43  341655389406
11235929 10 112  .6621    11 643422   21     2 21     13           32235312232221  111 112 1 2111 2112                          1 43  341655389406
11298729 10 212  .6621    11 452232   11     2 41     12           22124211111111  111 111 1 2111 4112                          1 43  341655389406
11303829 10 212  .6621    11 642122   91     3 41     12           32235212211121  991 111 1 1111 4112                          1 43  341655389406
11300529 10 212  .6621    11 342 1    9      4 4      22           221232122   22  99  1 1 1      411                           1 43  341655389406
11269229112 112  .6641       853 4    1      9 9      11           432463111   11  11  1 1 1      9                             1 21  141511189434
11306529 10 212  .6821    11 754442   41     3 13     14           33245311132211  221 112 2 2121 1112                          1 43  341655389406
11314429 10 212  .6821    11 852322   32     2 18     11           43246211122121  125 121 1 2223 1112                          1 43  341655389406
11312229 10 212  .6821    11 752322   32     2 14     14           33245211122121  121 122 2 2222 1112                          1 43  341655389406
11233029 10 112  .6821    11 852322   41     2 11     14           43246211122121  221 112 2 2111 1112                          1 43  341655389406
11230929 10 112  .6821    11 852112   41     3 11     14           43246211111122  221 112 2 1111 1112                          1 43  341655389406
11299629 10 212  .6821    11 852142   21     9 2      11           43246211111111  11  111 1 21   2112                          1 43  341655389406
11311729 10 212  .6821    11 852212   11     4 31     24           43246211111122  111 112 2 1111 3112                          1 43  341655389406
11233729 10 112  .6821    11 842232   32     3 41     12           43246212211111  121 121 1 2222 4112                          1 43  341655389406
11231729 10 112  .6821    11 842132   31     3 41     23           43246212211111  121 112 1 2111 4112                          1 43  341655389406
11310429 10 212  .6821    11 743322   32     2 42     14           33245312222121  122 122 2 2223 4112                          1 43  341655389406
11332829112 312  .6901    11 152122   21     4 11     13           11111211111121  111 112 1 1111 1112                          1 21  141511189434
