10343610*** 911 1.9533    118852313    1     3        13    432462243246211122122      112 1 21      1 3 1211  2                1 32  131534332570
10343710*** 911 1.4843    218833333    2     3        33    432462243246323322111      242 1 22      2 2 1111  2                1 32  231344133884
10343810*** 911 1.8411    216642343    2     3        23    322352132235212222111      122 1 22      1 3 1311  2                1 32  1313*4232080
10343910*** 911 2.6353    135532212    2     3        23    322342132234223311122      122 1 22      1 1 1933  2                1 21  531111333145
10344010*** 911 1.8863    115542333    2     3        14    322342132234212222111      122 2 22      2 1 1111  2                1 21  531211233315
10344110*** 911  .7423    217752323    2     2        23    332452133245211122121      122 1 22      1 2 1911  2                1 21  331311333702
10344210*** 911  .3713    217743313    2     3        33    332452133245312222122      242 1 22      9 9 9911  2                1 21  531211133445
10344310*** 911 1.9531    117742433    1     3        13    332452133245212232211      112 1 21      1 1 1311  2                1 32  131432132579
10344410*** 911  .9761    118842323    1     2        13    432462243246212222121      112 1 21      1 2 1411  2                1 32  231544132766
10344510*** 911 1.9531    118842433    2     4        34    432462243246212232211      242 2 22      1 9 1311  2                1 32  231333232757
10344610*** 911  .9761    118852333    1     3        13    432462243246211122111      112 1 21      1 1 2311  2                1 53  131555432091
10344710*** 911  .7423    218842 33    1     3        34    4324622432462122   11      232 2  1      2 3 1111  2                1 32  1313*4232563
10344810*** 911  .3713    218843333    1     2        24    432462243246312222111      112 2 21      1 2 1411  2                1 21  431311334983
10344910*** 911 5.2691    136642122    2     3        14    322352132235212211121      122 2 22      1 2 1333  1                1 32  331342133624
10345010*** 911 1.9453    118833113    1     3        19    432462243246323311122      119 9 11      2 2 1211  2                1 53  131655432621
10345110*** 911 1.9531    117752323    1     3        23    332452133245211122121      112 1 21      1 3 1911  2                1 32  131544232043
10345210*** 911 1.9533    118852223    1     3        14    432462243246211111121      112 2 11      2 1 1911  2                1 32  431343233455
10345310*** 911 1.8413    213322323    1     4        94    221231122123223422121      9 2 2 21      1 1 1911  2                1 32  131344232086
10345410*** 911 1.8414    216643433    2     3        43    322352132235312232211      342 1 22      2 1 1111  2                1 32  331342133624
10345510*** 911 1.9533    118842323    1     3        24    432462243246212222121      112 2 21      2 1 1911  2                1 32  531334333314
10345610*** 911 3.9524    135554322    1     3        14    322342132234311122121      112 2 22      1 2 1233  2                1 21  431511433993
10345710*** 911 2.5121    2388 2 11    2     1        93    4324622432462      22      9 2 1  2      9 1 1933  1                1 32  531544133187
10345810*** 911  .9763    118852233    1     2        14    432462243246211111111      112 2 21      2 1 1111  2                1 32  131442334472
10345910*** 911 1.4333    215532233    2     3        24    322342132234223311111      122 2 22      2 1 1111  2                1 32  331544434613
10346010*** 911 1.4841    218852243    2     3        33    432462243246211111111      242 1 22      1 2 2311  2                1 32  231542433868
10346110*** 911 2.9551    218842213    2     3        34    432462243246212211122      242 2 12      2 1 1111  2                1 21  431311134209
10346210*** 911 2.4231    116642533    2     3        53    322352132235212232211      342 1 22      9 1 9911  2                1 32  531344133410
10346310*** 911 1.1134    218852123    1     3        14    432462243246211111121      112 2 11      1 1 9911  2                1 43  431355333901
10346410*** 911 1.9531    118854223    1     2        19    432462243246311111121      119 9 11      1 2 1911  2                1 53  431555433852
10346510*** 911 5.2691    133332111    1     3        23    221231122123223311122      112 1 22      1 2 1433  1                1 32  531132433012
10346610*** 911 1.1553    218853 23    1     3        22    4324622432463111   21      111 1  1      1 2 1911  2                1 21  331211333756
10346710*** 911 1.4844    217753 33    1     1        13    3324521332453111   11      112 1  1      1 9 2311  2                1 32  331344234655
10346810*** 911 1.0013    213342542    2     2        34    221231122123212232211      242 2 22      2 2 2133  1                1 21  531211333401
10346910*** 911  .4881    118822113    1     2        33    432462243246223411122      232 1 11      1 3 1911  2                1 53  131555332063
10347010*** 911 1.4843    218842313    1     3        23    432462243246212222122      112 1 21      1 1 1311  2                1 32  231342132825
10347110*** 911  .4603    216642133    1     3        33    322352132235212211111      232 1 21      2 3 1111  2                1 11  131311232216
10347210*** 911 1.8411    215542323    1     3        14    322342132234212222121      112 2 21      1 9 1311  2                1 21  331311133647
10347310*** 911 1.2114    116633443    1     3        59    322352132235323332211      339 9 21      2 1 2911  2                1 21  331211233764
10347410*** 911 1.9453    1177 2143    2     3        24    3324521332452   11111      122 2 22      2 3 1911  2                1 21  331211333770
10347510*** 911 1.4843    218842443    2     3        23    432462243246212232211      122 1 22      2 2 1111  2                1 32  431342234112
10347610*** 911  .4013    21  52 13    1     3        24                2111   22      112 2  1      2 2 1111  2                1 32  431342233908
10347710*** 911  .9763    118812333    1     3        93    432462243246223422111      9 2 1 21      9 9 9311  2                1 32  331342433592
10347810*** 911  .3713    218852333    2     4        24    432462243246211122111      122 2 22      1 3 1911  2                1 32  231333132931
10347910*** 911 1.5203    118842433    2     2        14    432462243246212232211      122 2 22      1 3 1911  2                1 32  231333132952
10348010*** 911  .4883    118832 43    2     3        34    4324622432462233   11      242 2  2      2 2 1911  2                1 32  431342134243
10348110*** 911 1.2112    114452233    1     2        13    221241122124211111111      112 1 21      1 3 2311  2                1 53  431355232962
10348210*** 911  .7423    218852123    1     3        19    432462243246211111121      119 9 11      2 1 1911  2                1 32  431344134110
10348310*** 911 1.5201    117742323    2     3        33    332452133245212222121      242 1 22      1 3 2311  2                1 32  131342132082
10348410*** 911 1.8413    215542433    2     3        34    322342132234212232211      242 2 22      1 1 1911  2                1 32  531344133428
10348510*** 911 1.2113    116642313    1     3        29    322352132235212222122      119 9 21      2 1 1911  2                1 32  131342332526
10348610*** 911  .9201    246632313    1     4        14    322352132235223322122      112 2 2       1 2 2234  2                1 43  131455232548
10348710*** 911 1.4783    218832233    2     3        43    432462243246223311111      342 1 22      2 1 9111  2                1 32  331223133706
10348810*** 911 2.4231    124422333    1     3        14    221241122124223422111      112 2 22      1 1 1322  2                1 32  531244133025
10348910*** 911 1.0013    235542331    2     3        13    322342132234212222111      122 1 22      1 9 1933  2                1 32  531244133015
10349010*** 911 1.4841    218842123    2     3        34    432462243246212211121      242 2 12      9 3 9311  2                1 21  231311432114
10349110*** 911  .9763    118832233    2     3        94    432462243246223311111      9 2 2 22      9 1 1111  2                1 32  431342133919
10349210*** 911  .7423    218832 33    2     3        24    4324622432462233   11      122 2  2      2 9 1911  2                1 32  131332332507
10349310*** 911 3.2131    238842 11    2     9        32    4324622432462122   22      241 1  2      9 2 1933  1                1 21  531211133173
10349410*** 911 1.4843    218844333    2     3        13    432462243246312222111      122 1 22      2 2 1911  2                1 21  131311332608
10349510*** 911  .7423    2 8852  3          3        94    4324622432462111           9 2 2         2 1 11    2                1 32  231334332778
10349610*** 911  .9761    118843233    1     2        23    432462243246312211111      112 1 21      1 2 1311  2                1 32  231343232926
10349710*** 911 1.9531    118852343          3        13    432462243246211122111      1 2 1 2       1 3 1311  2                1 32  131544332656
10349810*** 911  .9204    216642343    1     9        22    322352132235212222111      111 1 21      9 1 2911  2                1 43  131355232514
10349910*** 911 2.4233    116642433    2     3        14    322352132235212232211      122 2 22      2 1 1911  2                1 32  231343132779
10350010*** 911 1.4841    218852333    1     3        13    432462243246211122111      112 1 21      1 2 1911  2                1 21  131311132605
10350110*** 911 3.0023    236652541    2     3        23    322352132235211132211      122 1 22      2 9 1133  2                1 21  531211133173
10350210*** 911 1.9533    117752533    1     3        13    332452133245211132211      112 1 21      1 2 1311  2                1 32  131342132082
10350310*** 911 1.4783    218842213    1     2        14    432462243246212211122      112 2 11      2 9 1911  2                1 11  131311432208
10350410*** 911  .9203    216632 33          3        34    3223521322352233   11      2 2 2         2 1 1111  2                1 32  131344232086
10350510*** 911 1.4783    218852213    2     3        24    432462243246211111122      122 2 12      1 3 1111  2                1 32  331333234698
10350610*** 911 3.6343    114442223    2     3        94    221241122124212211121      9 2 2 12      2 3 1111  2                1 32  131344332068
10350710*** 911  .9761    118852223    1     4        14    432462243246211111121      112 2 11      1 1 2311  2                1 32  231344232136
10350810*** 911 1.4783    218852513    1     3        34    432462243246211132222      232 2 21      2 3 1311  2                1 32  531344133437
