30748021 23 122  .6361    2  8        2       1        9   2       43246           11    99        1                            1 32  211333221136
30881921109 222  .7643    21 8   2    1       1        4   2       43246       21  11    21        2                            1 53  411555321676
30988821 51 322  .9803    21 7   2    4       1        5   2       33245       21  22    22        3                            1 32  411523321780
30862521 57 212  .5660    21 83144    92   91919      59 9 2       43246123332211  99  3499  22   91                            1 53  411555421550
30859021107 212 1.3914    21 352 2    91   33219      12 1 2       221232111   21  99  1111   1   99                            1 43  411455320667
30965121 88 312  .9071    21 85231    11   33321      15 1 4       43246211122122  11  1122  21   13                            1 32  311333220707
30882421109 212  .7643    21 84243    92   39911      14 1 2       43246212232211  99  1221  22   12                            1 53  411555321676
30881321109 212  .7643    21 85253    32   29221      19 1 4       43246211132211  12  1299  22   13                            1 53  411555321676
31005421109 312  .7643    21 832 1    92   39411      91 3 2       432462233   22  99  9 11   2   13                            1 53  411555321676
30967321 57 312  .8244    21 532 1    42   93311      23 1 2       322342233   22  22  1221   2   13                            1 53  411555421550
31010221 79 312  .8242    21 84243    22   22312      23 1 2       43246212232211  11  1221  22   23                            1 32  311334120850
30873421 35 212  .4354    2  65221    92   23422      14 1 4       32235211111122  99  1221   2   23                            1 11  111211421229
30873321 35 212  .4354    2  65221    92   23422      14 1 4       32235211111122  99  1221   2   23                            1 11  111211421229
30998121 25 312  .8161    21 85222    91   23113      15 1 2       43246211111121  99  1122  11   33                            1 21  211311121204
30971621 65 312 1.1164    21 65253    42   33113      44 1 2       32235211132211  22  3421  22   33                            1 32  211344121042
30965321 57 312  .7743    21 83232    42   91324      55 3 4       43246223322121  22  3422  22   42                            1 53  411555421550
30775221 79 112 1.5033    21 84243    22   33214      13 1 2       43246212232211  11  1221  22   41                            1 32  311334120850
30877021 51 222  .8774    21 1   1    4       2        1  14       11111       22  22    11      1 32                           1 32  411523321780
30999221 51 322  .9984    21 7   3    4       1        5  12       33245       11  22    22      1 32                           1 32  411523321780
30974821 57 312  .5920    21 61131    42   99219      95 912       32235123422122  22  9 22  22  1912                           1 53  411555421550
30856421107 212 1.6721    21 85242    41   22219      14 112       43246211132221  22  1121  21  1932                           1 43  411455320667
30986821 51 312 1.3111    21 52223    42   11329      51 914       32234223411111  22  3411  22  1912                           1 32  411523321780
31005321104 312  .6342    21 64232    91   99219      15 912       32235212222121  99  1122  21  1932                           1 32  411533321617
30993221 25 312  .8583    21 73342    32   99919      34 212       33245323332221  12  2421  22  1922                           1 21  211311121204
30748221 28 112 2.0943    21 73233    42   31929      45 114       33245223322111  22  3422  22  1932                           1 11  211211221212
30973421 55 312  .8244    21 53 42    92   93219      92 912       32234 23332221  99  9 11  22  1912                           1 32  411334121770
30971221 23 312  .8444    21 4 231    32   93319      91 112       221242   22122  12  9 11  22  1932                           1 32  211333221136
30873521 89 212 1.1649    21 33344    42   31219      51 912       22123323332211  22  3411  22  1912                           1 32  311333220707
30859821107 212 1.4681    21 15232    31   23421      14 114       11111211122121  12  1121  21  1132                           1 43  411455320667
30859721107 212 1.4681    21 15232    31   23421      14 114       11111211122121  12  1121  21  1132                           1 43  411455320667
31044221 64 312 1.6051    21 84222    42   23221      15 114       43246212211121  22  1222  12  1132                           1 32  211342121043
30847121 26 212  .7221    21 63242    42   32411      15 112       32235223332221  22  1222  22  1132                           1 32  211222321234
30984421 42 312 1.0211    21 34221    42   22311      15 112       22123212211122  22  1222  12  1132                           1 32  411334321157
30972121112 312 1.0631    21 65222    41   23311      14 112       32235211111121  22  1121  11  1132                           1 43  411355421740
30970621112 312 1.0631    21 53232    41   13211      34 112       32234223322121  22  2321  21  1132                           1 43  411355421740
30964421 88 312 1.8041    23 35243    41   23121      44 114       22123211132211  22  3321  22  1132                           1 32  311333220707
30763421 57 112  .8691    21 12211    41   23121      14 114       11111223411122  22  1121  11  1132                           1 53  411555421550
30890921 12 212  .9182    21 63243    42   11311      21 112       32235223332211  22  1211  22  1132                           1 32  211323121057
30882321 42 212  .7382    21 33434    42   99311      42 212       22123323322111  22  3411  22  1132                           1 32  411334321157
31011021 12 312  .9182    21 432 4    42   99311      31 112       221242233   11  22  2411  22  1122                           1 32  211323121057
31007121107 312 1.0612    21 24243    32   32911      24 112       11112212232211  12  1221  22  1122                           1 43  411455320667
30987421 51 312  .9472    21 42222    11   33411      21 312       22124223411121  11  1111  11  1132                           1 32  411523321780
30986721 42 312  .7382    21 62333    31   22311      21 312       32235323422111  12  1111  21  1112                           1 32  411334321157
30887721 12 212 1.0913    21 83243    42   33221      32 114       43246223332211  22  2411  22  1132                           1 32  211323121057
30884921 42 212  .7643    21 85222    41   33321      14 114       43246211111121  22  1121  11  1132                           1 32  411334321157
30876121 56 212  .7983    21 53252    22   31111      35 112       32234223332221  11  2422  22  1122                           1 32  411344121774
30875621 56 212  .7983    21 54244    12   31311      45 112       32234212232211  11  3422  22  1132                           1 32  411344121774
30874921 89 212 1.0673    21 64244    32   31311      23 112       32235212232211  12  1221  22  1132                           1 32  311333220707
30874821 56 212  .7983    21 33244    32   31311      35 112       22123223332211  12  2422  22  1122                           1 32  411344121774
30874021 89 212 1.0673    21 54244    21   31311      35 112       32234212232211  11  2322  21  1112                           1 32  311333220707
30873621 51 212  .8613    21 14231    22   31321      32 114       11111212222122  11  2411  22  1122                           1 32  411523321780
30873221 51 212 1.0243    21 43231    22   31311      32 112       22124223322122  11  2411  22  1122                           1 32  411523321780
30869121  8 212 1.1943    21 74232    22   31921      35 114       33245212222121  11  2422  22  1132                           1 32  211333121401
30868521112 212  .8303    21 64222    31   92321      93 214       32235212211121  12  9 21  11  1122                           1 43  411355421740
30866921 25 212  .8973    21 45234    21   23311      14 112       22124211122111  11  1121  21  1132                           1 21  211311121204
30863021 55 212  .8093    21 53244    32   31311      43 312       32234223332211  12  3421  22  1122                           1 32  411334121770
31040721 64 312 1.7653    21 33213    22   39421      94 114       22123223311111  11  9 21  22  1122                           1 32  211342121043
30856321 33 212  .5213    21 45234    42   31321      34 114       22124211122111  22  2421  22  1132                           1 11  111211421230
30855521 55 212  .8093    21 65232    22   39311      33 112       32235211122121  11  2421  22  1132                           1 32  411334121770
30851621107 212 1.3663    21 65233    21   23221      11 114       32235211122111  11  1111  21  1132                           1 43  411455320667
30851321 48 212 1.8623    21 63232    31   39311      14 112       32235223322121  12  1121  21  1132                           1 32  411344220603
30850021 26 212  .7603    21 55242    12   23211      33 112       32234211132221  11  2421  22  1132                           1 32  211222321234
30848421 26 212  .7603    21 63244    32   31211      33 112       32235223332211  12  2421  22  1122                           1 32  211222321234
